top_n,momentum,vol,regime_filter,benchmark_relative,leveraged_mode,CAGR,MaxDrawdown,Sharpe,AnnualVol,TotalReturn,CAGR_vs_SPY,Sharpe_vs_SPY,CAGR_vs_QQQ,Sharpe_vs_QQQ,CompositeScore
4,60,20,False,True,off,0.38655281133919694,-0.32330335134880506,1.4702740610032041,0.24332684477151056,6.837368626899604,0.2396400714763407,0.695856732216621,0.19025028568548108,0.6257483128975933,6.117568829183654
4,60,20,False,True,capped,0.39619678797009006,-0.33339895272804765,1.452300016891755,0.2527520196540005,7.187174265229983,0.2492840481072338,0.6778826881051719,0.1998942623163742,0.6077742687861442,6.034871840233105
4,60,20,True,True,off,0.30228620044534216,-0.24010950407557508,1.393223909117237,0.20545223728033268,4.279915956043275,0.1553734605824859,0.6188065803306538,0.10598367479162629,0.548698161011626,5.663617464693985
4,60,20,True,True,capped,0.31159899305983907,-0.2512993090481763,1.3669045335283145,0.21633278567023842,4.5223328654348816,0.16468625319698282,0.5924872047417314,0.1152964674061232,0.5223787854227037,5.537218406011245
4,90,20,False,True,capped,0.3601669127626066,-0.3004391186555537,1.3540203905127022,0.25143232623669226,5.943900136941071,0.21325417289975035,0.5796030617261191,0.16386438710889073,0.5094946424070913,5.510965758809864
3,60,20,False,True,off,0.377554246034304,-0.40374804731088876,1.3480631792951798,0.2644510947545944,6.52239798702693,0.23064150617144774,0.5736458505085967,0.18125172038058812,0.503537431189569,5.3919836548792475
3,60,20,False,True,capped,0.3828542177993137,-0.41092387460279933,1.3413322269343062,0.26969919812273,6.706592663627908,0.23594147793645748,0.5669148981477231,0.18655169214559786,0.49680647882869533,5.360317843854605
4,60,20,False,False,off,0.3594882607603749,-0.37857422267556673,1.33384676235224,0.25572762154435597,5.922102439832319,0.21257552089751863,0.559429433565657,0.163185735106659,0.4893210142466292,5.314978189179076
4,90,20,True,True,capped,0.3045558758632929,-0.22299259538878646,1.313603874040228,0.22192787333485792,4.338155346070925,0.15764313600043667,0.539186545253645,0.10825335020957705,0.4690781259346172,5.290596930568987
4,60,20,False,False,capped,0.3687362057780832,-0.37857422267556673,1.3232097012921535,0.2647058568255604,6.2241452101334085,0.22182346591522695,0.5487923725055704,0.17243368012436733,0.47868395318654267,5.28028877391406
4,90,20,False,True,off,0.3235286172578353,-0.2953566056401802,1.2990248990940338,0.23852674707778648,4.846487431621107,0.17661587739497908,0.5246075703074508,0.12722609160411946,0.454499150988423,5.168810726325429
2,90,20,True,False,capped,0.364279272653083,-0.2963942478426691,1.2809648161216234,0.27245589610077864,6.077224452611368,0.21736653279022677,0.5065474873350403,0.16797674699936715,0.4364390680160125,5.1587664516108855
4,60,20,True,False,off,0.28500428224111607,-0.29103087818799855,1.3072156669659218,0.20932696499712836,3.853739452583734,0.13809154237825982,0.5327983381793387,0.0887017565874002,0.46268991886031097,5.137906768594048
3,60,20,True,True,off,0.30226169335726616,-0.31877748827339036,1.301055750334801,0.22277920623635722,4.279290038650573,0.1553489534944099,0.5266384215482179,0.1059591677035503,0.45653000222919016,5.108326075568275
2,90,20,True,True,capped,0.35786773800253147,-0.29319788309825245,1.2690030258886746,0.27097779008991957,5.870285416688217,0.21095499813967522,0.49458569710209155,0.1615652123488156,0.42447727778306377,5.08997006883834
3,60,20,False,False,off,0.37444005335226405,-0.42983415495184185,1.294647416985586,0.27604586972504835,6.4159056263914005,0.2275273134894078,0.5202300881990028,0.17813752769854818,0.45012166887997507,5.0873731287980535
3,60,20,False,False,capped,0.38006185030889017,-0.4366960387802461,1.2910231759996622,0.2810847500103392,6.609079863756055,0.23314911044603392,0.5166058472130791,0.1837593246551743,0.44649742789405134,5.072261257187603
2,90,20,True,False,off,0.3521942484431495,-0.29639424784266855,1.2681913053731824,0.2669684608616022,5.69143592857923,0.20528150858029326,0.4937739765865993,0.15589172278943364,0.4236655572675715,5.070728849448814
4,60,20,True,False,capped,0.29399704823196315,-0.29103087818799867,1.2860705590933201,0.2200081993828172,4.0717368912899135,0.1470843083691069,0.511653230306737,0.09769452257824729,0.44154481098770926,5.050166761212735
3,60,20,True,True,capped,0.3071301441483816,-0.32697592698619493,1.2885966897206136,0.22891750225323185,4.404863687038106,0.16021740428552533,0.5141793609340305,0.11082761849466571,0.4440709416150027,5.045929547624203
2,90,20,True,True,off,0.34583950828697096,-0.2931978830982521,1.2560594994887675,0.2654590007336457,5.49577740322457,0.19892676842411472,0.4816421707021844,0.1495369826332551,0.4115337513831566,5.001195977407684
4,90,20,True,True,off,0.27201016718258564,-0.22299259538878613,1.2642982816115413,0.20816624445797655,3.5527019000676896,0.1250974273197294,0.48988095282495825,0.07570764152886977,0.41977253350593047,4.9789775510641405
3,60,20,True,False,off,0.2995999575436257,-0.33071155922254236,1.274878373428285,0.22637981959557782,4.211679111607576,0.15268721768076943,0.5004610446417018,0.10329743188990981,0.43035262532267404,4.95779483426943
3,60,20,True,False,capped,0.3047740537492829,-0.33876637269163157,1.2648260737464503,0.23243220755479085,4.343782102541563,0.15786131388642666,0.4904087449598672,0.10847152809556704,0.4203003256408394,4.908215752108666
2,90,20,False,False,capped,0.40496527823498774,-0.39394642067417174,1.2370620815413294,0.3164990600109636,7.516534386523153,0.2580525383721315,0.46264475275474626,0.20866275258127187,0.3925363334357185,4.903562182475423
2,90,20,False,False,off,0.39251985027758085,-0.3939464206741725,1.2222505505306938,0.31179339607671025,7.052287243756085,0.2456071104147246,0.44783322174411067,0.19621732462386499,0.3777248024250829,4.804613671507429
4,90,20,False,False,capped,0.33685345629748875,-0.3724958839656296,1.2391503356659295,0.26321420515526844,5.227332721618728,0.1899407164346325,0.4647330068793464,0.1405509306437729,0.3946245875603186,4.803520453273676
2,90,20,False,True,capped,0.3867276810365783,-0.3823920490651689,1.2211117117144437,0.3076623975585205,6.843597650184586,0.23981494117372204,0.44669438292786057,0.19042515538286242,0.3765859636088328,4.80120038487498
4,90,20,True,False,capped,0.28410797428487333,-0.28409625362862745,1.2282823378245173,0.2249854657317147,3.8324505699541893,0.1371952344220171,0.45386500903793425,0.08780544863115747,0.38375658971890647,4.749769056445786
2,90,20,False,True,off,0.37444380490224205,-0.38239204906516866,1.2061756191216138,0.3028172806232002,6.416033146496938,0.2275310650393858,0.43175829033503066,0.17814127924852619,0.3616498710160029,4.701952169642158
3,90,20,False,True,capped,0.32215888094247913,-0.3315703157061952,1.1850844979843018,0.2666339512117791,4.808474254592415,0.17524614107962289,0.41066716919771873,0.12585635528876327,0.34055874987869095,4.552912796066839
4,90,20,False,False,off,0.30084298602556414,-0.37147814417631353,1.1779954203857552,0.2509090040170351,4.243162125944732,0.1539302461627079,0.40357809159917213,0.10454046037184828,0.33346967228014435,4.426946224076135
4,90,20,True,False,off,0.2520722399402706,-0.28293513976597007,1.1730669192426841,0.2114155473527167,3.121403064042589,0.10515950007741437,0.39864959045610104,0.05576971428655475,0.32854117113707326,4.411013831482602
3,90,20,False,False,capped,0.32906064590972894,-0.382505202950689,1.1655819804822112,0.27834462970527796,5.002150242481371,0.1821479060468727,0.3911646516956281,0.13275812025601308,0.3210562323766003,4.408081873797492
3,90,20,True,True,capped,0.2749934471674098,-0.26633468453346165,1.1525444369105504,0.23574031284699196,3.6203878936623157,0.12808070730455356,0.3781271081239673,0.07869092151369395,0.30801868880493954,4.374164380555225
3,90,20,True,False,capped,0.2771168553466885,-0.29276681873691324,1.1480568499175685,0.23874377828583254,3.6690787420202122,0.13020411548383226,0.3736395211309854,0.08081432969297264,0.30353110181195764,4.32425470090473
2,60,20,False,True,off,0.355784457464275,-0.4831016622310038,1.1604645333416426,0.30285694423850884,5.804151215985377,0.20887171760141876,0.3860472045550595,0.15948193181055914,0.3159387852360317,4.315226510067364
2,60,20,False,False,off,0.3616492666610638,-0.5238071509907518,1.1485329963566961,0.31224343768842516,5.991712908599206,0.21473652679820754,0.37411566757011305,0.16534674100734792,0.30400724825108527,4.218451857024512
2,60,20,False,True,capped,0.3499113111407066,-0.4865741567938169,1.1402051876198442,0.3049944837433694,5.620582969096601,0.20299857127785037,0.36578785883326115,0.15360878548699075,0.29567943951423337,4.198016495335861
3,90,20,False,True,off,0.2874523785095684,-0.3311543797956805,1.1155378868313945,0.2570514094873442,3.912288483254696,0.14053963864671215,0.34112055804481145,0.09114985285585253,0.27101213872578367,4.136265858529099
2,60,20,False,False,capped,0.35575071446830786,-0.5270061883220993,1.129187711275313,0.31431748471187193,5.803084460958902,0.20883797460545162,0.35477038248872994,0.159448188814592,0.28466196316970216,4.106089482434467
3,90,20,False,False,off,0.29417297302440093,-0.38250520295068924,1.0966531015749312,0.2691829424032832,4.076082327057586,0.14726023316154468,0.32223577278834814,0.09787044737068507,0.25212735346932036,3.993662133490437
3,90,20,True,True,off,0.24447625683600593,-0.26587815521082414,1.0863349154342923,0.22553679074327496,2.966396911461723,0.09756351697314969,0.3119175866477092,0.04817373118229007,0.2418091673286814,3.98263022769829
2,60,20,True,True,off,0.2744051325332204,-0.38327754084726284,1.098271393131715,0.24998577864193194,3.606973361485002,0.12749239267036416,0.32385406434513186,0.07810260687950454,0.2537456450261041,3.961291104816106
2,60,20,True,False,off,0.27695611429167455,-0.3985111574318875,1.0987405622885542,0.25221300668820656,3.665377828602714,0.1300433744288183,0.3243232335019711,0.08065358863795868,0.25421481418294334,3.950458574215661
3,90,20,True,False,off,0.24654884087050077,-0.29276681873691324,1.0818772577225104,0.22867541825319576,3.008195832891716,0.09963610100764453,0.30745992893592733,0.05024631521678491,0.23735150961689955,3.9322207109770635
2,60,20,True,True,capped,0.26860292772000527,-0.38742064835930323,1.0718284240006675,0.2524736024464058,3.476419223130291,0.12169018785714902,0.2974110952140844,0.0723004020662894,0.2273026758950566,3.8125001205199895
2,60,20,True,False,capped,0.2711422951822995,-0.4025519263467664,1.072615196155023,0.25467923240695683,3.5331686025619433,0.12422955531944324,0.2981978673684399,0.07483976952858362,0.2280894480494121,3.8033551826314005
